excerpt,author,book
"Lily had hinted to Mr. Gryce that this neglect of religious observances was repugnant to her early traditions, and that during her visits to Bellomont she regularly accompanied Muriel and Hilda to church. This tallied with the assurance, also confidentially imparted, that, never having played bridge before, she had been “dragged into it” on the night of her arrival, and had lost an appalling amount of money in consequence of her ignorance of the game and of the rules of betting. Mr. Gryce was undoubtedly enjoying Bellomont. He liked the ease and glitter of the life, and the lustre conferred on him by being a member of this group of rich and conspicuous people. But he thought it a very materialistic society; there were times when he was frightened by the talk of the men and the looks of the ladies, and he was glad to find that Miss Bart, for all her ease and self-possession, was not at home in so ambiguous an atmosphere. For this reason he had been especially pleased to learn that she would, as usual, attend the young Trenors to church on Sunday morning; and as he paced the gravel sweep before the door, his light overcoat on his arm and his prayer-book in one carefully-gloved hand, he reflected agreeably on the strength of character which kept her true to her early training in surroundings so subversive to religious principles.",Edith Wharton,wharton_house_of_mirth
"She laid down the paper and sat motionless, staring at her note. She understood now that he was never coming—that he had gone away because he was afraid that he might come. She rose, and walking across the floor stood gazing at herself for a long time in the brightly lit mirror above the mantelpiece. The lines in her face came out terribly—she looked old; and when a girl looks old to herself, how does she look to other people? She moved away, and began to wander aimlessly about the room, fitting her steps with mechanical precision between the monstrous roses of Mrs. Peniston’s Axminster. Suddenly she noticed that the pen with which she had written to Selden still rested against the uncovered inkstand. She seated herself again, and taking out an envelope, addressed it rapidly to Rosedale. Then she laid out a sheet of paper, and sat over it with suspended pen. It had been easy enough to write the date, and “Dear Mr. Rosedale”—but after that her inspiration flagged. She meant to tell him to come to her, but the words refused to shape themselves. At length she began: “I have been thinking——” then she laid the pen down, and sat with her elbows on the table and her face hidden in her hands.",Edith Wharton,wharton_house_of_mirth
"Left to herself, Gerty mused distressfully upon her friend’s plight, and her own inability to relieve it. It was clear to her that Lily, for the present, had no wish for the kind of help she could give. Miss Farish could see no hope for her friend but in a life completely reorganized and detached from its old associations; whereas all Lily’s energies were centred in the determined effort to hold fast to those associations, to keep herself visibly identified with them, as long as the illusion could be maintained. Pitiable as such an attitude seemed to Gerty, she could not judge it as harshly as Selden, for instance, might have done. She had not forgotten the night of emotion when she and Lily had lain in each other’s arms, and she had seemed to feel her very heart’s blood passing into her friend. The sacrifice she had made had seemed unavailing enough; no trace remained in Lily of the subduing influences of that hour; but Gerty’s tenderness, disciplined by long years of contact with obscure and inarticulate suffering, could wait on its object with a silent forbearance which took no account of time. She could not, however, deny herself the solace of taking anxious counsel with Lawrence Selden, with whom, since his return from Europe, she had renewed her old relation of cousinly confidence.",Edith Wharton,wharton_house_of_mirth
"At first she poured herself out unstintingly, happy in this perfect communion of their sympathies. His understanding of Lily helped to confirm her own belief in her friend. They dwelt together on the fact that Lily had had no chance. Gerty instanced her generous impulses—her restlessness and discontent. The fact that her life had never satisfied her proved that she was made for better things. She might have married more than once—the conventional rich marriage which she had been taught to consider the sole end of existence—but when the opportunity came she had always shrunk from it. Percy Gryce, for instance, had been in love with her—every one at Bellomont had supposed them to be engaged, and her dismissal of him was thought inexplicable. This view of the Gryce incident chimed too well with Selden’s mood not to be instantly adopted by him, with a flash of retrospective contempt for what had once seemed the obvious solution. If rejection there had been—and he wondered now that he had ever doubted it!—then he held the key to the secret, and the hillsides of Bellomont were lit up, not with sunset, but with dawn. It was he who had wavered and disowned the face of opportunity—and the joy now warming his breast might have been a familiar inmate if he had captured it in its first flight.",Edith Wharton,wharton_house_of_mirth
"It was past four already; and when a cab had dropped her at the quay, and she stood waiting for the gig to put off for her, she began to wonder what had been happening on the yacht. Of Silverton’s whereabouts there had been no mention. Had he returned to the Sabrina? Or could Bertha—the dread alternative sprang on her suddenly—could Bertha, left to herself, have gone ashore to rejoin him? Lily’s heart stood still at the thought. All her concern had hitherto been for young Silverton, not only because, in such affairs, the woman’s instinct is to side with the man, but because his case made a peculiar appeal to her sympathies. He was so desperately in earnest, poor youth, and his earnestness was of so different a quality from Bertha’s, though hers too was desperate enough. The difference was that Bertha was in earnest only about herself, while he was in earnest about her. But now, at the actual crisis, this difference seemed to throw the weight of destitution on Bertha’s side, since at least he had her to suffer for, and she had only herself. At any rate, viewed less ideally, all the disadvantages of such a situation were for the woman; and it was to Bertha that Lily’s sympathies now went out. She was not fond of Bertha Dorset, but neither was she without a sense of obligation, the heavier for having so little personal liking to sustain it. Bertha had been kind to her, they had lived together, during the last months, on terms of easy friendship, and the sense of friction of which Lily had recently become aware seemed to make it the more urgent that she should work undividedly in her friend’s interest.",Edith Wharton,wharton_house_of_mirth
"On this assumption, in fact, the early part of the following day was lived through. Dorset, as if in obedience to Lily’s imperative bidding, had actually returned in time for a late dinner on the yacht. The repast had been the most difficult moment of the day. Dorset was sunk in one of the abysmal silences which so commonly followed on what his wife called his “attacks” that it was easy, before the servants, to refer it to this cause; but Bertha herself seemed, perversely enough, little disposed to make use of this obvious means of protection. She simply left the brunt of the situation on her husband’s hands, as if too absorbed in a grievance of her own to suspect that she might be the object of one herself. To Lily this attitude was the most ominous, because the most perplexing, element in the situation. As she tried to fan the weak flicker of talk, to build up, again and again, the crumbling structure of “appearances,” her own attention was perpetually distracted by the question: “What on earth can she be driving at?” There was something positively exasperating in Bertha’s attitude of isolated defiance. If only she would have given her friend a hint they might still have worked together successfully; but how could Lily be of use, while she was thus obstinately shut out from participation? To be of use was what she honestly wanted; and not for her own sake but for the Dorsets’. She had not thought of her own situation at all: she was simply engrossed in trying to put a little order in theirs. But the close of the short dreary evening left her with a sense of effort hopelessly wasted. She had not tried to see Dorset alone: she had positively shrunk from a renewal of his confidences. It was Bertha whose confidence she sought, and who should as eagerly have invited her own; and Bertha, as if in the infatuation of self-destruction, was actually pushing away her rescuing hand.",Edith Wharton,wharton_house_of_mirth
"Lily, leaning back among her pillows, gazed musingly at his letter. The scene in the Brys’ conservatory had been like a part of her dreams; she had not expected to wake to such evidence of its reality. Her first movement was one of annoyance: this unforeseen act of Selden’s added another complication to life. It was so unlike him to yield to such an irrational impulse! Did he really mean to ask her to marry him? She had once shown him the impossibility of such a hope, and his subsequent behaviour seemed to prove that he had accepted the situation with a reasonableness somewhat mortifying to her vanity. It was all the more agreeable to find that this reasonableness was maintained only at the cost of not seeing her; but, though nothing in life was as sweet as the sense of her power over him, she saw the danger of allowing the episode of the previous night to have a sequel. Since she could not marry him, it would be kinder to him, as well as easier for herself, to write a line amicably evading his request to see her: he was not the man to mistake such a hint, and when next they met it would be on their usual friendly footing.",Edith Wharton,wharton_house_of_mirth
"When, the afternoon before, she had presented herself to the lady to whom Carry Fisher had directed her, she had been conscious of entering a new world. Carry’s vague presentment of Mrs. Norma Hatch (whose reversion to her Christian name was explained as the result of her latest divorce), left her under the implication of coming “from the West,” with the not unusual extenuation of having brought a great deal of money with her. She was, in short, rich, helpless, unplaced: the very subject for Lily’s hand. Mrs. Fisher had not specified the line her friend was to take; she owned herself unacquainted with Mrs. Hatch, whom she “knew about” through Melville Stancy, a lawyer in his leisure moments, and the Falstaff of a certain section of festive club life. Socially, Mr. Stancy might have been said to form a connecting link between the Gormer world and the more dimly-lit region on which Miss Bart now found herself entering. It was, however, only figuratively that the illumination of Mrs. Hatch’s world could be described as dim: in actual fact, Lily found her seated in a blaze of electric light, impartially projected from various ornamental excrescences on a vast concavity of pink damask and gilding, from which she rose like Venus from her shell. The analogy was justified by the appearance of the lady, whose large-eyed prettiness had the fixity of something impaled and shown under glass. This did not preclude the immediate discovery that she was some years younger than her visitor, and that under her showiness, her ease, the aggression of her dress and voice, there persisted that ineradicable innocence which, in ladies of her nationality, so curiously coexists with startling extremes of experience.",Edith Wharton,wharton_house_of_mirth
"But now his love was her only hope, and as she sat alone with her wretchedness the thought of confiding in him became as seductive as the river’s flow to the suicide. The first plunge would be terrible—but afterward, what blessedness might come! She remembered Gerty’s words: “I know him—he will help you”; and her mind clung to them as a sick person might cling to a healing relic. Oh, if he really understood—if he would help her to gather up her broken life, and put it together in some new semblance in which no trace of the past should remain! He had always made her feel that she was worthy of better things, and she had never been in greater need of such solace. Once and again she shrank at the thought of imperilling his love by her confession: for love was what she needed—it would take the glow of passion to weld together the shattered fragments of her self-esteem. But she recurred to Gerty’s words and held fast to them. She was sure that Gerty knew Selden’s feeling for her, and it had never dawned upon her blindness that Gerty’s own judgment of him was coloured by emotions far more ardent than her own.",Edith Wharton,wharton_house_of_mirth
"At first she did not grasp the full import of the situation. She understood only that before her lay a letter written by Bertha Dorset, and addressed, presumably, to Lawrence Selden. There was no date, but the blackness of the ink proved the writing to be comparatively recent. The packet in Mrs. Haffen’s hand doubtless contained more letters of the same kind—a dozen, Lily conjectured from its thickness. The letter before her was short, but its few words, which had leapt into her brain before she was conscious of reading them, told a long history—a history over which, for the last four years, the friends of the writer had smiled and shrugged, viewing it merely as one among the countless “good situations” of the mundane comedy. Now the other side presented itself to Lily, the volcanic nether side of the surface over which conjecture and innuendo glide so lightly till the first fissure turns their whisper to a shriek. Lily knew that there is nothing society resents so much as having given its protection to those who have not known how to profit by it: it is for having betrayed its connivance that the body social punishes the offender who is found out. And in this case there was no doubt of the issue. The code of Lily’s world decreed that a woman’s husband should be the only judge of her conduct: she was technically above suspicion while she had the shelter of his approval, or even of his indifference. But with a man of George Dorset’s temper there could be no thought of condonation—the possessor of his wife’s letters could overthrow with a touch the whole structure of her existence. And into what hands Bertha Dorset’s secret had been delivered! For a moment the irony of the coincidence tinged Lily’s disgust with a confused sense of triumph. But the disgust prevailed—all her instinctive resistances, of taste, of training, of blind inherited scruples, rose against the other feeling. Her strongest sense was one of personal contamination.",Edith Wharton,wharton_house_of_mirth
"Mrs. Hatch swam in a haze of indeterminate enthusiasms, of aspirations culled from the stage, the newspapers, the fashion journals, and a gaudy world of sport still more completely beyond her companion’s ken. To separate from these confused conceptions those most likely to advance the lady on her way, was Lily’s obvious duty; but its performance was hampered by rapidly-growing doubts. Lily was in fact becoming more and more aware of a certain ambiguity in her situation. It was not that she had, in the conventional sense, any doubt of Mrs. Hatch’s irreproachableness. The lady’s offences were always against taste rather than conduct; her divorce record seemed due to geographical rather than ethical conditions; and her worst laxities were likely to proceed from a wandering and extravagant good-nature. But if Lily did not mind her detaining her manicure for luncheon, or offering the “Beauty-Doctor” a seat in Freddy Van Osburgh’s box at the play, she was not equally at ease in regard to some less apparent lapses from convention. Ned Silverton’s relation to Stancy seemed, for instance, closer and less clear than any natural affinities would warrant; and both appeared united in the effort to cultivate Freddy Van Osburgh’s growing taste for Mrs. Hatch. There was as yet nothing definable in the situation, which might well resolve itself into a huge joke on the part of the other two; but Lily had a vague sense that the subject of their experiment was too young, too rich and too credulous. Her embarrassment was increased by the fact that Freddy seemed to regard her as cooperating with himself in the social development of Mrs. Hatch: a view that suggested, on his part, a permanent interest in the lady’s future. There were moments when Lily found an ironic amusement in this aspect of the case. The thought of launching such a missile as Mrs. Hatch at the perfidious bosom of society was not without its charm: Miss Bart had even beguiled her leisure with visions of the fair Norma introduced for the first time to a family banquet at the Van Osburghs’. But the thought of being personally connected with the transaction was less agreeable; and her momentary flashes of amusement were followed by increasing periods of doubt.",Edith Wharton,wharton_house_of_mirth
"He left Lily to a passion of disgust and fear. It seemed incredible that Gus Trenor should have spoken of her to Rosedale. With all his faults, Trenor had the safeguard of his traditions, and was the less likely to overstep them because they were so purely instinctive. But Lily recalled with a pang that there were convivial moments when, as Judy had confided to her, Gus “talked foolishly”: in one of these, no doubt, the fatal word had slipped from him. As for Rosedale, she did not, after the first shock, greatly care what conclusions he had drawn. Though usually adroit enough where her own interests were concerned, she made the mistake, not uncommon to persons in whom the social habits are instinctive, of supposing that the inability to acquire them quickly implies a general dulness. Because a blue-bottle bangs irrationally against a window-pane, the drawing-room naturalist may forget that under less artificial conditions it is capable of measuring distances and drawing conclusions with all the accuracy needful to its welfare; and the fact that Mr. Rosedale’s drawing-room manner lacked perspective made Lily class him with Trenor and the other dull men she knew, and assume that a little flattery, and the occasional acceptance of his hospitality, would suffice to render him innocuous. However, there could be no doubt of the expediency of showing herself in his box on the opening night of the opera; and after all, since Judy Trenor had promised to take him up that winter, it was as well to reap the advantage of being first in the field.",Edith Wharton,wharton_house_of_mirth
"Miss Farish, it appeared, had just left the committee-meeting of a struggling charity in which she was interested. The object of the association was to provide comfortable lodgings, with a reading-room and other modest distractions, where young women of the class employed in downtown offices might find a home when out of work, or in need of rest, and the first year’s financial report showed so deplorably small a balance that Miss Farish, who was convinced of the urgency of the work, felt proportionately discouraged by the small amount of interest it aroused. The other-regarding sentiments had not been cultivated in Lily, and she was often bored by the relation of her friend’s philanthropic efforts, but today her quick dramatizing fancy seized on the contrast between her own situation and that represented by some of Gerty’s “cases.” These were young girls, like herself; some perhaps pretty, some not without a trace of her finer sensibilities. She pictured herself leading such a life as theirs—a life in which achievement seemed as squalid as failure—and the vision made her shudder sympathetically. The price of the dressing-case was still in her pocket; and drawing out her little gold purse she slipped a liberal fraction of the amount into Miss Farish’s hand.",Edith Wharton,wharton_house_of_mirth
"Lily took no sleeping-drops that night. She lay awake viewing her situation in the crude light which Rosedale’s visit had shed on it. In fending off the offer he was so plainly ready to renew, had she not sacrificed to one of those abstract notions of honour that might be called the conventionalities of the moral life? What debt did she owe to a social order which had condemned and banished her without trial? She had never been heard in her own defence; she was innocent of the charge on which she had been found guilty; and the irregularity of her conviction might seem to justify the use of methods as irregular in recovering her lost rights. Bertha Dorset, to save herself, had not scrupled to ruin her by an open falsehood; why should she hesitate to make private use of the facts that chance had put in her way? After all, half the opprobrium of such an act lies in the name attached to it. Call it blackmail and it becomes unthinkable; but explain that it injures no one, and that the rights regained by it were unjustly forfeited, and he must be a formalist indeed who can find no plea in its defence.",Edith Wharton,wharton_house_of_mirth
"“Well, here we are, in for another six months of caterwauling,” he began complainingly. “Not a shade of difference between this year and last, except that the women have got new clothes and the singers haven’t got new voices. My wife’s musical, you know—puts me through a course of this every winter. It isn’t so bad on Italian nights—then she comes late, and there’s time to digest. But when they give Wagner we have to rush dinner, and I pay up for it. And the draughts are damnable—asphyxia in front and pleurisy in the back. There’s Trenor leaving the box without drawing the curtain! With a hide like that draughts don’t make any difference. Did you ever watch Trenor eat? If you did, you’d wonder why he’s alive; I suppose he’s leather inside too.—But I came to say that my wife wants you to come down to our place next Sunday. Do for heaven’s sake say yes. She’s got a lot of bores coming—intellectual ones, I mean; that’s her new line, you know, and I’m not sure it ain’t worse than the music. Some of ’em have long hair, and they start an argument with the soup, and don’t notice when things are handed to them. The consequence is the dinner gets cold, and I have dyspepsia. That silly ass Silverton brings them to the house—he writes poetry, you know, and Bertha and he are getting tremendously thick. She could write better than any of ’em if she chose, and I don’t blame her for wanting clever fellows about; all I say is: ‘Don’t let me see ’em eat!’”",Edith Wharton,wharton_house_of_mirth
"Miss Bart’s arrival had been welcomed with an uncritical friendliness that first irritated her pride and then brought her to a sharp sense of her own situation—of the place in life which, for the moment, she must accept and make the best of. These people knew her story—of that her first long talk with Carry Fisher had left no doubt: she was publicly branded as the heroine of a “queer” episode—but instead of shrinking from her as her own friends had done, they received her without question into the easy promiscuity of their lives. They swallowed her past as easily as they did Miss Anstell’s, and with no apparent sense of any difference in the size of the mouthful: all they asked was that she should—in her own way, for they recognized a diversity of gifts—contribute as much to the general amusement as that graceful actress, whose talents, when off the stage, were of the most varied order. Lily felt at once that any tendency to be “stuck-up,” to mark a sense of differences and distinctions, would be fatal to her continuance in the Gormer set. To be taken in on such terms—and into such a world!—was hard enough to the lingering pride in her; but she realized, with a pang of self-contempt, that to be excluded from it would, after all, be harder still. For, almost at once, she had felt the insidious charm of slipping back into a life where every material difficulty was smoothed away. The sudden escape from a stifling hotel in a dusty deserted city to the space and luxury of a great country-house fanned by sea breezes, had produced a state of moral lassitude agreeable enough after the nervous tension and physical discomfort of the past weeks. For the moment she must yield to the refreshment her senses craved—after that she would reconsider her situation, and take counsel with her dignity. Her enjoyment of her surroundings was, indeed, tinged by the unpleasant consideration that she was accepting the hospitality and courting the approval of people she had disdained under other conditions. But she was growing less sensitive on such points: a hard glaze of indifference was fast forming over her delicacies and susceptibilities, and each concession to expediency hardened the surface a little more.",Edith Wharton,wharton_house_of_mirth
"It was one of those still November days when the air is haunted with the light of summer, and something in the lines of the landscape, and in the golden haze which bathed them, recalled to Miss Bart the September afternoon when she had climbed the slopes of Bellomont with Selden. The importunate memory was kept before her by its ironic contrast to her present situation, since her walk with Selden had represented an irresistible flight from just such a climax as the present excursion was designed to bring about. But other memories importuned her also; the recollection of similar situations, as skillfully led up to, but through some malice of fortune, or her own unsteadiness of purpose, always failing of the intended result. Well, her purpose was steady enough now. She saw that the whole weary work of rehabilitation must begin again, and against far greater odds, if Bertha Dorset should succeed in breaking up her friendship with the Gormers; and her longing for shelter and security was intensified by the passionate desire to triumph over Bertha, as only wealth and predominance could triumph over her. As the wife of Rosedale—the Rosedale she felt it in her power to create—she would at least present an invulnerable front to her enemy.",Edith Wharton,wharton_house_of_mirth
"Mrs. Trenor, as it chanced, had placed the husband and wife on opposite sides of the table, and Lily was therefore able to observe Mrs. Dorset also, and by carrying her glance a few feet farther, to set up a rapid comparison between Lawrence Selden and Mr. Gryce. It was that comparison which was her undoing. Why else had she suddenly grown interested in Selden? She had known him for eight years or more: ever since her return to America he had formed a part of her background. She had always been glad to sit next to him at dinner, had found him more agreeable than most men, and had vaguely wished that he possessed the other qualities needful to fix her attention; but till now she had been too busy with her own affairs to regard him as more than one of the pleasant accessories of life. Miss Bart was a keen reader of her own heart, and she saw that her sudden preoccupation with Selden was due to the fact that his presence shed a new light on her surroundings. Not that he was notably brilliant or exceptional; in his own profession he was surpassed by more than one man who had bored Lily through many a weary dinner. It was rather that he had preserved a certain social detachment, a happy air of viewing the show objectively, of having points of contact outside the great gilt cage in which they were all huddled for the mob to gape at. How alluring the world outside the cage appeared to Lily, as she heard its door clang on her! In reality, as she knew, the door never clanged: it stood always open; but most of the captives were like flies in a bottle, and having once flown in, could never regain their freedom. It was Selden’s distinction that he had never forgotten the way out.",Edith Wharton,wharton_house_of_mirth
"Rosedale, in particular, was said to have doubled his fortune, and there was talk of his buying the newly-finished house of one of the victims of the crash, who, in the space of twelve short months, had made the same number of millions, built a house in Fifth Avenue, filled a picture gallery with old masters, entertained all New York in it, and been smuggled out of the country between a trained nurse and a doctor, while his creditors mounted guard over the old masters, and his guests explained to each other that they had dined with him only because they wanted to see the pictures. Mr. Rosedale meant to have a less meteoric career. He knew he should have to go slowly, and the instincts of his race fitted him to suffer rebuffs and put up with delays. But he was prompt to perceive that the general dulness of the season afforded him an unusual opportunity to shine, and he set about with patient industry to form a background for his growing glory. Mrs. Fisher was of immense service to him at this period. She had set off so many newcomers on the social stage that she was like one of those pieces of stock scenery which tell the experienced spectator exactly what is going to take place. But Mr. Rosedale wanted, in the long run, a more individual environment. He was sensitive to shades of difference which Miss Bart would never have credited him with perceiving, because he had no corresponding variations of manner; and it was becoming more and more clear to him that Miss Bart herself possessed precisely the complementary qualities needed to round off his social personality.",Edith Wharton,wharton_house_of_mirth
"It was a good deal better than a broiling Sunday in town—of that no doubt remained to Lily as, reclining in the shade of a leafy verandah, she looked seaward across a stretch of greensward picturesquely dotted with groups of ladies in lace raiment and men in tennis flannels. The huge Van Alstyne house and its rambling dependencies were packed to their fullest capacity with the Gormers’ week-end guests, who now, in the radiance of the Sunday forenoon, were dispersing themselves over the grounds in quest of the various distractions the place afforded: distractions ranging from tennis-courts to shooting-galleries, from bridge and whiskey within doors to motors and steam-launches without. Lily had the odd sense of having been caught up into the crowd as carelessly as a passenger is gathered in by an express train. The blonde and genial Mrs. Gormer might, indeed, have figured the conductor, calmly assigning seats to the rush of travellers, while Carry Fisher represented the porter pushing their bags into place, giving them their numbers for the dining-car, and warning them when their station was at hand. The train, meanwhile, had scarcely slackened speed—life whizzed on with a deafening’ rattle and roar, in which one traveller at least found a welcome refuge from the sound of her own thoughts. The Gormer MILIEU represented a social out-skirt which Lily had always fastidiously avoided; but it struck her, now that she was in it, as only a flamboyant copy of her own world, a caricature approximating the real thing as the “society play” approaches the manners of the drawing-room. The people about her were doing the same things as the Trenors, the Van Osburghs and the Dorsets: the difference lay in a hundred shades of aspect and manner, from the pattern of the men’s waistcoats to the inflexion of the women’s voices. Everything was pitched in a higher key, and there was more of each thing: more noise, more colour, more champagne, more familiarity—but also greater good-nature, less rivalry, and a fresher capacity for enjoyment.",Edith Wharton,wharton_house_of_mirth
"That melancholy pleasure-ground was almost deserted when she entered it, and she sank down on an empty bench in the glare of an electric street-lamp. The warmth of the fire had passed out of her veins, and she told herself that she must not sit long in the penetrating dampness which struck up from the wet asphalt. But her will-power seemed to have spent itself in a last great effort, and she was lost in the blank reaction which follows on an unwonted expenditure of energy. And besides, what was there to go home to? Nothing but the silence of her cheerless room—that silence of the night which may be more racking to tired nerves than the most discordant noises: that, and the bottle of chloral by her bed. The thought of the chloral was the only spot of light in the dark prospect: she could feel its lulling influence stealing over her already. But she was troubled by the thought that it was losing its power—she dared not go back to it too soon. Of late the sleep it had brought her had been more broken and less profound; there had been nights when she was perpetually floating up through it to consciousness. What if the effect of the drug should gradually fail, as all narcotics were said to fail? She remembered the chemist’s warning against increasing the dose; and she had heard before of the capricious and incalculable action of the drug. Her dread of returning to a sleepless night was so great that she lingered on, hoping that excessive weariness would reinforce the waning power of the chloral.",Edith Wharton,wharton_house_of_mirth
"Intimacy with the Dorsets was not likely to lessen such difficulties on the material side. Mrs. Dorset had none of Judy Trenor’s lavish impulses, and Dorset’s admiration was not likely to express itself in financial “tips,” even had Lily cared to renew her experiences in that line. What she required, for the moment, of the Dorsets’ friendship, was simply its social sanction. She knew that people were beginning to talk of her; but this fact did not alarm her as it had alarmed Mrs. Peniston. In her set such gossip was not unusual, and a handsome girl who flirted with a married man was merely assumed to be pressing to the limit of her opportunities. It was Trenor himself who frightened her. Their walk in the Park had not been a success. Trenor had married young, and since his marriage his intercourse with women had not taken the form of the sentimental small-talk which doubles upon itself like the paths in a maze. He was first puzzled and then irritated to find himself always led back to the same starting-point, and Lily felt that she was gradually losing control of the situation. Trenor was in truth in an unmanageable mood. In spite of his understanding with Rosedale he had been somewhat heavily “touched” by the fall in stocks; his household expenses weighed on him, and he seemed to be meeting, on all sides, a sullen opposition to his wishes, instead of the easy good luck he had hitherto encountered.",Edith Wharton,wharton_house_of_mirth
"“You’re wondering how I found out about ’em?” he went on, answering her look with a note of conscious pride. “Perhaps you’ve forgotten that I’m the owner of the Benedick—but never mind about that now. Getting on to things is a mighty useful accomplishment in business, and I’ve simply extended it to my private affairs. For this IS partly my affair, you see—at least, it depends on you to make it so. Let’s look the situation straight in the eye. Mrs. Dorset, for reasons we needn’t go into, did you a beastly bad turn last spring. Everybody knows what Mrs. Dorset is, and her best friends wouldn’t believe her on oath where their own interests were concerned; but as long as they’re out of the row it’s much easier to follow her lead than to set themselves against it, and you’ve simply been sacrificed to their laziness and selfishness. Isn’t that a pretty fair statement of the case?—Well, some people say you’ve got the neatest kind of an answer in your hands: that George Dorset would marry you tomorrow, if you’d tell him all you know, and give him the chance to show the lady the door. I daresay he would; but you don’t seem to care for that particular form of getting even, and, taking a purely business view of the question, I think you’re right. In a deal like that, nobody comes out with perfectly clean hands, and the only way for you to start fresh is to get Bertha Dorset to back you up, instead of trying to fight her.”",Edith Wharton,wharton_house_of_mirth
"Miss Bart’s telegram caught Lawrence Selden at the door of his hotel; and having read it, he turned back to wait for Dorset. The message necessarily left large gaps for conjecture; but all that he had recently heard and seen made these but too easy to fill in. On the whole he was surprised; for though he had perceived that the situation contained all the elements of an explosion, he had often enough, in the range of his personal experience, seen just such combinations subside into harmlessness. Still, Dorset’s spasmodic temper, and his wife’s reckless disregard of appearances, gave the situation a peculiar insecurity; and it was less from the sense of any special relation to the case than from a purely professional zeal, that Selden resolved to guide the pair to safety. Whether, in the present instance, safety for either lay in repairing so damaged a tie, it was no business of his to consider: he had only, on general principles, to think of averting a scandal, and his desire to avert it was increased by his fear of its involving Miss Bart. There was nothing specific in this apprehension; he merely wished to spare her the embarrassment of being ever so remotely connected with the public washing of the Dorset linen.",Edith Wharton,wharton_house_of_mirth
"It was as the immortalizer of such occasions that little Dabham, wedged in modest watchfulness between two brilliant neighbours, suddenly became the centre of Selden’s scrutiny. How much did he know of what was going on, and how much, for his purpose, was still worth finding out? His little eyes were like tentacles thrown out to catch the floating intimations with which, to Selden, the air at moments seemed thick; then again it cleared to its normal emptiness, and he could see nothing in it for the journalist but leisure to note the elegance of the ladies’ gowns. Mrs. Dorset’s, in particular, challenged all the wealth of Mr. Dabham’s vocabulary: it had surprises and subtleties worthy of what he would have called “the literary style.” At first, as Selden had noticed, it had been almost too preoccupying to its wearer; but now she was in full command of it, and was even producing her effects with unwonted freedom. Was she not, indeed, too free, too fluent, for perfect naturalness? And was not Dorset, to whom his glance had passed by a natural transition, too jerkily wavering between the same extremes? Dorset indeed was always jerky; but it seemed to Selden that tonight each vibration swung him farther from his centre.",Edith Wharton,wharton_house_of_mirth
"The necessity of accepting this view of their past relation, and of meeting it in the key of pleasantry prevalent among her new friends, was deeply humiliating to Lily. But she dared less than ever to quarrel with Rosedale. She suspected that her rejection rankled among the most unforgettable of his rebuffs, and the fact that he knew something of her wretched transaction with Trenor, and was sure to put the basest construction on it, seemed to place her hopelessly in his power. Yet at Carry Fisher’s suggestion a new hope had stirred in her. Much as she disliked Rosedale, she no longer absolutely despised him. For he was gradually attaining his object in life, and that, to Lily, was always less despicable than to miss it. With the slow unalterable persistency which she had always felt in him, he was making his way through the dense mass of social antagonisms. Already his wealth, and the masterly use he had made of it, were giving him an enviable prominence in the world of affairs, and placing Wall Street under obligations which only Fifth Avenue could repay. In response to these claims, his name began to figure on municipal committees and charitable boards; he appeared at banquets to distinguished strangers, and his candidacy at one of the fashionable clubs was discussed with diminishing opposition. He had figured once or twice at the Trenor dinners, and had learned to speak with just the right note of disdain of the big Van Osburgh crushes; and all he now needed was a wife whose affiliations would shorten the last tedious steps of his ascent. It was with that object that, a year earlier, he had fixed his affections on Miss Bart; but in the interval he had mounted nearer to the goal, while she had lost the power to abbreviate the remaining steps of the way. All this she saw with the clearness of vision that came to her in moments of despondency. It was success that dazzled her—she could distinguish facts plainly enough in the twilight of failure. And the twilight, as she now sought to pierce it, was gradually lighted by a faint spark of reassurance. Under the utilitarian motive of Rosedale’s wooing she had felt, clearly enough, the heat of personal inclination. She would not have detested him so heartily had she not known that he dared to admire her. What,",Edith Wharton,wharton_house_of_mirth
